nr_zmiany;nr_wiersza_csv;id_po_poprawie;kolumna;wartosc_przed;wartosc_po;regula
60;41;40;miasto;LODZ;Łódź;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
61;41;40;kwota;982,08;982.08;Ujednolicono kwotę: usunięto walutę, zamieniono przecinek na kropkę, ustawiono 2 miejsca po przecinku.
62;41;40;wspolczynnik;1,323;1.000;Współczynnik powyżej 1 przycięto do górnej granicy zakresu: 1.
63;42;41;miasto;wroclaw;Wrocław;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
64;43;42;miasto;lublin;Lublin;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
65;44;43;miasto;lublin;Lublin;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
66;45;44;miasto;Łodz;Łódź;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
67;45;44;wspolczynnik;0,31;0.310;Ujednolicono współczynnik: przecinek/kropka/procent zamieniono na liczbę z zakresu 0-1.
68;46;45;miasto;Kraków ;Kraków;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
69;46;45;kwota;1636,65;1636.65;Ujednolicono kwotę: usunięto walutę, zamieniono przecinek na kropkę, ustawiono 2 miejsca po przecinku.
70;47;46;miasto;Kraków ;Kraków;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
71;47;46;kwota;1249.99 zł;1249.99;Ujednolicono kwotę: usunięto walutę, zamieniono przecinek na kropkę, ustawiono 2 miejsca po przecinku.
72;49;48;miasto;wroclaw;Wrocław;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
73;49;48;wspolczynnik;1,23;1.000;Współczynnik powyżej 1 przycięto do górnej granicy zakresu: 1.
74;50;49;miasto;Poznan;Poznań;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
75;51;50;imie;  Michał ;Michał;Usunięto nadmiarowe spacje i ujednolicono zapis imienia.
76;51;50;kwota;1210,79;1210.79;Ujednolicono kwotę: usunięto walutę, zamieniono przecinek na kropkę, ustawiono 2 miejsca po przecinku.
77;52;51;miasto;krakow;Kraków;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
78;52;51;wspolczynnik;1.024;1.000;Współczynnik powyżej 1 przycięto do górnej granicy zakresu: 1.
79;53;52;miasto;LODZ;Łódź;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
80;53;52;wspolczynnik;0,232;0.232;Ujednolicono współczynnik: przecinek/kropka/procent zamieniono na liczbę z zakresu 0-1.
81;54;53;miasto;Wroclaw;Wrocław;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
82;55;54;miasto;wroclaw;Wrocław;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
83;56;55;miasto;Katowic;Katowice;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
84;56;55;kwota;100,23;100.23;Ujednolicono kwotę: usunięto walutę, zamieniono przecinek na kropkę, ustawiono 2 miejsca po przecinku.
85;57;56;wspolczynnik;1,46;1.000;Współczynnik powyżej 1 przycięto do górnej granicy zakresu: 1.
86;58;57;miasto;poznan;Poznań;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
87;59;58;miasto;LUBLIN;Lublin;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
88;59;58;wspolczynnik;1.387;1.000;Współczynnik powyżej 1 przycięto do górnej granicy zakresu: 1.
89;60;59;wspolczynnik;1.063;1.000;Współczynnik powyżej 1 przycięto do górnej granicy zakresu: 1.
90;61;60;wspolczynnik;0,465;0.465;Ujednolicono współczynnik: przecinek/kropka/procent zamieniono na liczbę z zakresu 0-1.
91;62;61;wspolczynnik;1.492;1.000;Współczynnik powyżej 1 przycięto do górnej granicy zakresu: 1.
92;63;62;wspolczynnik;1.413;1.000;Współczynnik powyżej 1 przycięto do górnej granicy zakresu: 1.
93;64;63;miasto;warszawa;Warszawa;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
94;64;63;wspolczynnik;0.98;0.980;Ujednolicono współczynnik: przecinek/kropka/procent zamieniono na liczbę z zakresu 0-1.
95;65;64;nazwisko;KOWALCZYK;Kowalczyk;Usunięto nadmiarowe spacje i ujednolicono zapis nazwiska.
96;65;64;miasto;katowice;Katowice;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
97;65;64;wspolczynnik;0,125;0.125;Ujednolicono współczynnik: przecinek/kropka/procent zamieniono na liczbę z zakresu 0-1.
98;66;65;kwota;2533,21;2533.21;Ujednolicono kwotę: usunięto walutę, zamieniono przecinek na kropkę, ustawiono 2 miejsca po przecinku.
99;66;65;wspolczynnik;1.469;1.000;Współczynnik powyżej 1 przycięto do górnej granicy zakresu: 1.
100;68;67;miasto;LUBLIN;Lublin;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
101;69;68;miasto;LODZ;Łódź;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
102;69;68;wspolczynnik;1,272;1.000;Współczynnik powyżej 1 przycięto do górnej granicy zakresu: 1.
103;70;69;miasto;POZNAŃ;Poznań;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
104;70;69;kwota;286.45 zł;286.45;Ujednolicono kwotę: usunięto walutę, zamieniono przecinek na kropkę, ustawiono 2 miejsca po przecinku.
105;70;69;wspolczynnik;1.031;1.000;Współczynnik powyżej 1 przycięto do górnej granicy zakresu: 1.
106;71;70;miasto;Poznan;Poznań;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
107;71;70;kwota;1472,36;1472.36;Ujednolicono kwotę: usunięto walutę, zamieniono przecinek na kropkę, ustawiono 2 miejsca po przecinku.
108;72;71;wspolczynnik;0.56;0.560;Ujednolicono współczynnik: przecinek/kropka/procent zamieniono na liczbę z zakresu 0-1.
109;73;72;miasto;WARSZAWA;Warszawa;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
110;73;72;wspolczynnik;0,101;0.101;Ujednolicono współczynnik: przecinek/kropka/procent zamieniono na liczbę z zakresu 0-1.
111;74;73;imie;michał;Michał;Usunięto nadmiarowe spacje i ujednolicono zapis imienia.
112;74;73;miasto;KATOWICE;Katowice;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
113;75;74;ilosc;74 szt;252;Błędną lub pustą ilość zastąpiono medianą poprawnych wartości: 252.
114;76;75;miasto;Poznan;Poznań;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
115;76;75;kwota;2932,06;2932.06;Ujednolicono kwotę: usunięto walutę, zamieniono przecinek na kropkę, ustawiono 2 miejsca po przecinku.
116;77;76;miasto;LUBLIN;Lublin;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
117;77;76;wspolczynnik;0,309;0.309;Ujednolicono współczynnik: przecinek/kropka/procent zamieniono na liczbę z zakresu 0-1.
118;78;77;miasto;lublin;Lublin;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
119;81;80;kwota;3990,51;3990.51;Ujednolicono kwotę: usunięto walutę, zamieniono przecinek na kropkę, ustawiono 2 miejsca po przecinku.
120;81;80;wspolczynnik;1,148;1.000;Współczynnik powyżej 1 przycięto do górnej granicy zakresu: 1.
121;82;81;miasto;Krakow ;Kraków;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
122;82;81;wspolczynnik;1.233;1.000;Współczynnik powyżej 1 przycięto do górnej granicy zakresu: 1.
123;83;82;miasto;Wroclaw;Wrocław;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
124;84;83;miasto;KATOWICE;Katowice;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
125;85;84;miasto;łódź;Łódź;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
126;85;84;wspolczynnik;1,07;1.000;Współczynnik powyżej 1 przycięto do górnej granicy zakresu: 1.
127;86;85;kwota;1351,18;1351.18;Ujednolicono kwotę: usunięto walutę, zamieniono przecinek na kropkę, ustawiono 2 miejsca po przecinku.
128;86;85;wspolczynnik;1.041;1.000;Współczynnik powyżej 1 przycięto do górnej granicy zakresu: 1.
129;87;86;miasto;KATOWICE;Katowice;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
130;88;87;miasto;Kraków ;Kraków;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
131;88;87;wspolczynnik;0.22;0.220;Ujednolicono współczynnik: przecinek/kropka/procent zamieniono na liczbę z zakresu 0-1.
132;89;88;miasto;POZNAŃ;Poznań;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
133;89;88;wspolczynnik;145%;1.000;Współczynnik powyżej 1 przycięto do górnej granicy zakresu: 1.
134;90;89;miasto;lublin;Lublin;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
135;91;90;miasto;poznan;Poznań;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
136;91;90;kwota;3020,80;3020.80;Ujednolicono kwotę: usunięto walutę, zamieniono przecinek na kropkę, ustawiono 2 miejsca po przecinku.
137;92;91;miasto;Gdansk;Gdańsk;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
138;93;92;miasto; Warszawa;Warszawa;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
139;93;92;kwota;2259.29 zł;2259.29;Ujednolicono kwotę: usunięto walutę, zamieniono przecinek na kropkę, ustawiono 2 miejsca po przecinku.
140;93;92;wspolczynnik;0,523;0.523;Ujednolicono współczynnik: przecinek/kropka/procent zamieniono na liczbę z zakresu 0-1.
141;94;93;miasto;GDAŃSK;Gdańsk;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
142;95;94;miasto;GDAŃSK;Gdańsk;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
143;96;95;miasto;poznan;Poznań;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
144;96;95;kwota;334,24;334.24;Ujednolicono kwotę: usunięto walutę, zamieniono przecinek na kropkę, ustawiono 2 miejsca po przecinku.
145;97;96;miasto;LUBLIN;Lublin;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
146;97;96;wspolczynnik;0,242;0.242;Ujednolicono współczynnik: przecinek/kropka/procent zamieniono na liczbę z zakresu 0-1.
147;98;97;miasto;Lodz;Łódź;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
148;99;98;miasto;GDAŃSK;Gdańsk;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
149;99;98;wspolczynnik;1.166;1.000;Współczynnik powyżej 1 przycięto do górnej granicy zakresu: 1.
150;101;100;imie;  Tomasz ;Tomasz;Usunięto nadmiarowe spacje i ujednolicono zapis imienia.
151;101;100;miasto;POZNAŃ;Poznań;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
152;101;100;kwota;4560,41;4560.41;Ujednolicono kwotę: usunięto walutę, zamieniono przecinek na kropkę, ustawiono 2 miejsca po przecinku.
153;101;100;wspolczynnik;0,87;0.870;Ujednolicono współczynnik: przecinek/kropka/procent zamieniono na liczbę z zakresu 0-1.
154;102;101;miasto;LUBLIN;Lublin;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
155;102;101;wspolczynnik;1.135;1.000;Współczynnik powyżej 1 przycięto do górnej granicy zakresu: 1.
156;103;102;miasto;wroclaw;Wrocław;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
157;104;103;wspolczynnik;1.237;1.000;Współczynnik powyżej 1 przycięto do górnej granicy zakresu: 1.
158;105;104;miasto;GDAŃSK;Gdańsk;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
159;105;104;wspolczynnik;0,369;0.369;Ujednolicono współczynnik: przecinek/kropka/procent zamieniono na liczbę z zakresu 0-1.
160;106;105;kwota;1203,24;1203.24;Ujednolicono kwotę: usunięto walutę, zamieniono przecinek na kropkę, ustawiono 2 miejsca po przecinku.
161;106;105;wspolczynnik;;0.548;Błędny lub pusty współczynnik zastąpiono medianą poprawnych wartości z zakresu 0-1: 0.548.
162;107;106;miasto;Lubln;Lublin;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
163;108;107;miasto; Warszawa;Warszawa;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
164;109;108;miasto;Poznan;Poznań;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
165;109;108;wspolczynnik;0,724;0.724;Ujednolicono współczynnik: przecinek/kropka/procent zamieniono na liczbę z zakresu 0-1.
166;110;109;miasto;warszawa;Warszawa;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
167;110;109;wspolczynnik;1.169;1.000;Współczynnik powyżej 1 przycięto do górnej granicy zakresu: 1.
168;111;110;ilosc;;252;Błędną lub pustą ilość zastąpiono medianą poprawnych wartości: 252.
169;111;110;kwota;1963,69;1963.69;Ujednolicono kwotę: usunięto walutę, zamieniono przecinek na kropkę, ustawiono 2 miejsca po przecinku.
170;111;110;wspolczynnik;1.398;1.000;Współczynnik powyżej 1 przycięto do górnej granicy zakresu: 1.
171;112;111;ilosc;115 szt;252;Błędną lub pustą ilość zastąpiono medianą poprawnych wartości: 252.
172;113;112;wspolczynnik;0,102;0.102;Ujednolicono współczynnik: przecinek/kropka/procent zamieniono na liczbę z zakresu 0-1.
173;114;113;miasto;Wwa;Warszawa;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
174;116;115;miasto;Poznan;Poznań;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
175;116;115;kwota;3009,29 zł;3009.29;Ujednolicono kwotę: usunięto walutę, zamieniono przecinek na kropkę, ustawiono 2 miejsca po przecinku.
176;117;116;miasto;poznan;Poznań;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
177;117;116;wspolczynnik;0,439;0.439;Ujednolicono współczynnik: przecinek/kropka/procent zamieniono na liczbę z zakresu 0-1.
178;118;117;wspolczynnik;1.01;1.000;Współczynnik powyżej 1 przycięto do górnej granicy zakresu: 1.
179;119;118;miasto;WROCŁAW;Wrocław;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
180;120;119;miasto;LUBLIN;Lublin;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
181;120;119;wspolczynnik;1.074;1.000;Współczynnik powyżej 1 przycięto do górnej granicy zakresu: 1.
182;121;120;imie;;Brak danych;Brak imienia uzupełniono wartością 'Brak danych'.
183;121;120;miasto;lublin;Lublin;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
184;121;120;kwota;3 987.35;3987.35;Ujednolicono kwotę: usunięto walutę, zamieniono przecinek na kropkę, ustawiono 2 miejsca po przecinku.
185;121;120;wspolczynnik;1,135;1.000;Współczynnik powyżej 1 przycięto do górnej granicy zakresu: 1.
186;122;121;miasto;katowice;Katowice;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
187;123;122;miasto;poznan;Poznań;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
188;124;123;miasto;Katowic;Katowice;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
189;124;123;wspolczynnik;1.428;1.000;Współczynnik powyżej 1 przycięto do górnej granicy zakresu: 1.
190;125;124;miasto;warszawa;Warszawa;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
191;125;124;wspolczynnik;0,299;0.299;Ujednolicono współczynnik: przecinek/kropka/procent zamieniono na liczbę z zakresu 0-1.
192;126;125;miasto;warszawa;Warszawa;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
193;126;125;kwota;2253,71;2253.71;Ujednolicono kwotę: usunięto walutę, zamieniono przecinek na kropkę, ustawiono 2 miejsca po przecinku.
194;126;125;wspolczynnik;1.097;1.000;Współczynnik powyżej 1 przycięto do górnej granicy zakresu: 1.
195;128;127;miasto;POZNAŃ;Poznań;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
196;129;128;nazwisko;NOWAK;Nowak;Usunięto nadmiarowe spacje i ujednolicono zapis nazwiska.
197;129;128;wspolczynnik;0,688;0.688;Ujednolicono współczynnik: przecinek/kropka/procent zamieniono na liczbę z zakresu 0-1.
198;130;129;miasto;WROCŁAW;Wrocław;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
199;131;130;miasto;Wwa;Warszawa;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
200;131;130;ilosc;abc;252;Błędną lub pustą ilość zastąpiono medianą poprawnych wartości: 252.
201;131;130;kwota;986,62;986.62;Ujednolicono kwotę: usunięto walutę, zamieniono przecinek na kropkę, ustawiono 2 miejsca po przecinku.
202;132;131;miasto;gdansk;Gdańsk;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
203;133;132;wspolczynnik;0,188;0.188;Ujednolicono współczynnik: przecinek/kropka/procent zamieniono na liczbę z zakresu 0-1.
204;135;134;miasto;WARSZAWA;Warszawa;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
205;136;135;miasto;Wwa;Warszawa;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
206;136;135;kwota;2981,89;2981.89;Ujednolicono kwotę: usunięto walutę, zamieniono przecinek na kropkę, ustawiono 2 miejsca po przecinku.
207;136;135;wspolczynnik;1.228;1.000;Współczynnik powyżej 1 przycięto do górnej granicy zakresu: 1.
208;137;136;wspolczynnik;0,752;0.752;Ujednolicono współczynnik: przecinek/kropka/procent zamieniono na liczbę z zakresu 0-1.
209;138;137;miasto;POZNAŃ;Poznań;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
210;138;137;wspolczynnik;1.399;1.000;Współczynnik powyżej 1 przycięto do górnej granicy zakresu: 1.
211;139;138;miasto;Poznan;Poznań;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
212;139;138;kwota;1188.35 zł;1188.35;Ujednolicono kwotę: usunięto walutę, zamieniono przecinek na kropkę, ustawiono 2 miejsca po przecinku.
213;139;138;wspolczynnik;1.306;1.000;Współczynnik powyżej 1 przycięto do górnej granicy zakresu: 1.
214;140;139;miasto;Kraków ;Kraków;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
215;141;140;nazwisko;Nowak  ;Nowak;Usunięto nadmiarowe spacje i ujednolicono zapis nazwiska.
216;141;140;miasto; Warszawa;Warszawa;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
217;141;140;kwota;2727,64;2727.64;Ujednolicono kwotę: usunięto walutę, zamieniono przecinek na kropkę, ustawiono 2 miejsca po przecinku.
218;141;140;wspolczynnik;0,325;0.325;Ujednolicono współczynnik: przecinek/kropka/procent zamieniono na liczbę z zakresu 0-1.
219;142;141;miasto;Krakow;Kraków;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
220;143;142;miasto;katowice;Katowice;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
221;144;143;miasto;Krakow;Kraków;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
222;145;144;miasto;Poznan;Poznań;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
223;145;144;wspolczynnik;0,443;0.443;Ujednolicono współczynnik: przecinek/kropka/procent zamieniono na liczbę z zakresu 0-1.
224;146;145;miasto;wroclaw;Wrocław;Ujednolicono nazwę miasta: wielkość liter, polskie znaki, skróty i literówki.
225;146;145;kwota;;2476.15;Błędną lub pustą kwotę zastąpiono medianą poprawnych wartości: 2476.15.
226;146;145;wspolczynnik;1.489;1.000;Współczynnik powyżej 1 przycięto do górnej granicy zakresu: 1.
227;147;146;imie;agnieszka;Agnieszka;Usunięto nadmiarowe spacje i ujednolicono zapis imienia.
